member_id,name,join_date,age,gender,postcode,phone,referred_by_member,_true_cohort,cancellation_requested
M0362,Deborah Stephens,2025-04-16,30,male,3121,08-6591-8463,False,sleeping_dog,
M0074,Dr. Jordan Hill PhD,2026-03-02,35,female,3005,+61378263982,False,steady,2026-08-23T20:16:00
M0375,Patricia Sanders,2025-09-08,38,prefer_not_to_say,3350,02 3721 3865,False,sleeping_dog,
M0156,Juan Jones,2026-02-22,33,female,3182,0478 499 121,False,steady,
M0105,Charles Sandoval,2026-02-05,25,male,3008,2018.3667,False,steady,
M0395,Kimberly Krause,2026-06-22,27,prefer_not_to_say,3008,(07)-5877-1694,True,winback,
M0378,Samantha Bowman,2025-07-13,32,prefer_not_to_say,3006,+61.2.3843.0988,False,sleeping_dog,
M0125,David Sheppard,2025-05-01,23,female,3006,+61359774688,False,steady,
M0069,Sydney White,2025-05-26,33,female,3121,0467.175.655,False,steady,
M0451,Eric Carey,2026-03-01,35,male,3004,+61.3.6490.8277,True,winback,
M0010,Kyle Mcdonald,2025-12-27,41,male,3006,(02) 1845 1462,True,steady,
M0195,Taylor Durham,2026-06-13,18,female,3182,+61.470.088.600,True,steady,
M0407,Alec Williams,2025-03-26,22,male,3141,0402-144-270,False,winback,
M0085,Crystal Pham,2025-11-30,26,female,3005,0394210470,False,steady,
M0372,Jennifer Lopez,2025-07-31,28,female,3220,9818 0635,False,sleeping_dog,
M0389,Michael Smith,2026-05-06,35,prefer_not_to_say,3220,08.9155.9428,False,winback,
M0496,Douglas Hodge,2024-12-27,29,female,3556,1929 2752,False,winback,
M0031,Michael Reyes,2025-11-11,28,male,3004,7337-5433,False,steady,
M0317,Anna Chang,2025-11-01,24,female,3004,0225-5794,False,sliding,
M0409,Reginald Jones,2024-12-17,32,male,3004,+61334601367,False,winback,
M0491,Laura Johnson,2024-10-14,32,male,3556,9751-9712,False,winback,
M0492,Kelsey Villarreal,2025-05-27,32,male,3182,(08) 8189 1371,False,winback,
M0281,Brian Glover,2026-02-14,18,female,3007,+61841862565,False,sliding,
M0357,Lynn Hess,2025-11-19,18,male,3006,0469.308.488,False,sleeping_dog,
M0077,Patrick Thornton,2025-10-01,43,female,3005,+61 8 2702 8951,False,steady,
M0462,Lisa French,2024-11-18,32,female,3006,(08)-9548-9952,False,winback,
M0498,Cynthia Alexander,2025-12-03,18,prefer_not_to_say,3182,+61-423-950-410,False,winback,
M0212,Rebecca Ortiz,2025-12-07,21,male,3004,+61343426617,True,steady,
M0102,Teresa Henderson,2026-02-08,22,prefer_not_to_say,3005,4945-1983,False,steady,
M0335,Ryan Stokes,2025-06-30,23,female,3004,0410 620 034,False,sleeping_dog,
M0476,Allen Berger,2025-05-09,23,female,3182,1601-6629,False,winback,
M0337,Megan Hoffman,2025-08-16,18,prefer_not_to_say,3220,0838406665,False,sleeping_dog,
M0441,Harold Garrett,2026-01-28,31,female,3556,0704608432,True,winback,
M0174,Jonathan Jacobson,2025-09-29,33,female,3008,(02)-4593-3272,False,steady,
M0003,Daniel Gallagher,2025-06-13,38,prefer_not_to_say,3006,16155940,False,steady,
M0334,Brandi Page,2025-05-09,21,female,3008,07-1587-9968,False,sleeping_dog,
M0410,Zachary Gonzalez,2026-03-29,24,prefer_not_to_say,3121,83764520,False,winback,
M0071,Raymond Hancock,2025-09-01,30,prefer_not_to_say,3004,8760 3859,False,steady,
M0210,Christina Edwards,2025-08-25,31,male,3004,+61 7 4793 5646,False,steady,
M0064,Brooke Thompson,2026-06-08,38,male,3220,2067.9740,False,steady,
M0385,Kenneth White,2026-05-14,32,prefer_not_to_say,3182,+61.437.333.433,False,winback,
M0094,Daniel Kane,2026-03-18,37,male,3005,(03).9042.2842,False,steady,
M0486,Mrs. Bethany Phillips,2025-12-25,31,male,3005,(02)08514036,False,winback,
M0186,Jason Hernandez,2025-10-08,29,female,3004,+61 3 8733 4270,False,steady,
M0034,Steven Lee,2025-12-28,34,male,3005,6088-3561,False,steady,
M0078,Jessica Fox,2025-04-03,18,prefer_not_to_say,3007,+61.2.2621.7459,True,steady,
